dependent_variable,max_calib_KGE_slope,max_calib_KGE_pvalue,validgap_slope,validgap_pvalue,max_valid_KGE_slope,max_valid_KGE_pvalue,calib_consistency_slope,calib_consistency_KGE_pvalue
lat,-0.00252611507042511,0.215052234244046,-0.00415448531480124,0.321232847182858,0.00162837024437613,0.728313461116757,0.000116548236021601,0.685739984466204
lon,0.000846557902086123,0.162735187827902,-0.00341701436740632,0.00393904765125162,0.00426357226949245,0.000988618995148133,-6.67135906542051e-06,0.938232459372882
area_km2,5.26907376376423e-06,0.554460575730562,6.0627872390419e-06,0.740161103135499,-7.93713475277571e-07,0.968882198281056,1.95107755215684e-06,0.111889751384947
elevation_m,-4.97574661505569e-06,0.678713615852699,5.82967498331924e-05,0.0132467701836748,-6.3272496448248e-05,0.0158649367806348,-3.07386556383652e-07,0.855039203930206
slope_deg,0.000329119701358802,0.836965739314171,0.00624246660835701,0.0498751507986429,-0.0059133469069982,0.0975209336906175,9.45442568668191e-05,0.672371870798307
forest_frac,0.0131057022563535,0.793413205393134,-0.0545983017135783,0.593480690278779,0.0677040039699318,0.551481646650786,0.00360008722142151,0.60663561456339
annual_average_precip_mm,7.8115588640175e-05,0.0220607234609913,-0.000177252653232748,0.0104061368441474,0.000255368241872923,0.00056553473472066,-1.40372290036589e-06,0.777159241982542
annual_average_PET_mm,1.40032494958188e-05,0.685683956587807,-7.41825037362399e-05,0.29153783427123,8.81857532320589e-05,0.258952986258284,2.4532158179983e-06,0.612098633962522
annual_average_AET_mm,1.47904517108487e-05,0.718491279725363,-0.000166540556170532,0.0410553430290242,0.000181331007881381,0.0457625635893928,-7.04387073742377e-07,0.902433808041977
annual_avg_streamflow_mm,0.000120593180292456,0.00954277940477279,-0.000247822755098889,0.00923997111141678,0.000368415935391345,0.000268053661306487,-2.89370136639196e-07,0.966253121714215
evap_index,-0.113278630405042,0.0457288986805837,-0.000701438893873865,0.995318704777832,-0.112577191511168,0.394570520828786,-0.00116841742889244,0.886283083727044
dryness_index,-0.039898952821987,0.291011258740493,0.105733849277033,0.169203624004169,-0.14563280209902,0.0861510346930461,0.00261738713690685,0.622837091736481
runoff_ratio,0.142875163467909,0.0400742239583032,-0.309041252418382,0.0294383634635656,0.451916415886292,0.00321815724106392,0.00196562153285376,0.844835131365537
